term,weight
て 分から,317.89903763080366
標準,317.70104457424884
タンス,317.5281654872443
お願い,317.48614434407654
いくら,316.9783041219452
厄 災,316.9168023487217
お待ち,316.89161438728587
洞窟 奥,316.8155333851817
そんな し いい,316.7886142265784
し 最悪,316.61828750302925
いく しよ,316.43782464863585
破棄 さ,315.47638000664557
語,315.45697671754505
血 濡れ,315.35626412302406
数年,315.0445760740572
愛さ れ,314.92314840245035
お前 顔,314.90524375956204
何故 人間,314.82209605472167
朦朧,314.6805905545873
戦い,314.6686154437783
物心,314.5722429634716
ss,314.23154297133453
c ランク,314.0107669856378
こっそり,313.86280792405734
られる,313.77997812770735
去年,313.4586119416223
持つ この,312.81975384916393
カレン,312.4480675486084
次に,312.1633321828092
重なり合っ,311.995888004512
幾度,311.8454393915578
別に この,311.5899819898958
おかげ,310.91735992083574
可憐,309.8202797229548
余,309.81322619276983
厄,309.24610499342907
刀身,309.19002478241293
待っ ください,308.3057473325122
実 言う,308.0704493638621
役に立っ,308.03509466978954
哀れ,308.03466869973875
顔 出さ,307.93918647449686
その 肩,307.5594339205063
ユーリ,307.473072874969
の 気づく,307.24608996890515
知っ いる ー,307.0293161385707
笑え くる,306.91350173041985
必ず,306.9022514577315
し いい,306.86500407224565
魔王 討伐,306.74737555198413
200年,306.70979180512717
積もっ い,306.42563505074764
アイテム,306.3394600028822
未来,305.85700597862575
いい 思う ん,305.77015086316203
与え られる,305.2206615635171
犯し い,305.193578425796
完成,305.15498348775554
もう 二度と,304.185023129109
追々,303.9331948647907
落下,303.9081299344953
可能,303.89947538302295
しまっ,303.8235846135939
注い,303.80035087116244
言っ いえ,303.6788806550478
成熟 し,303.3924423886928
最低,303.3154198122292
棺桶,303.2304327489004
男爵,303.0204651469322
いい 好き,302.8065847566504
尽くさ,302.7957349725833
6割,302.4403954731142
殺さ れる の,302.02645739574297
い 平和,302.0125532471215
安寧,301.9386545485934
移動 魔法,301.6835397775818
ほしい,301.50392275698954
記憶 消し くれ,301.4907743856465
気付い いる,301.4867159907634
石 投げ,301.14441073016803
何処 い,300.37749396291304
基礎,300.17150480816986
切り出さ れ,299.94604510257096
5歳,299.6401803748364
フロアー,299.27750235389567
持ち,299.1930943955424
くれ やっ,299.0613054646439
この 場所,298.85304788122977
抜ける,298.46840057664855
殺さ,298.4189957057636
侵入,297.95527178978693
太陽,297.891818459542
勉強 し の,297.7805254208785
燃える 赤い,297.7167359168845
数字,297.43870975833767
ソフトウェア,297.23157178628844
限定,297.21387124730825
血,296.88361518526864
れ 突然,296.12314415284163
黄金 輝く,295.92088567794053
城内,295.8000269005772
成熟,295.3872001244482
新居,295.3282516922879
慌て,295.13134624393393
成分,294.5359886557192
コピー,294.2171176423668
時代,294.0124623927833
神力,293.88440631237887
あっ 昔,293.7822410774371
不可能,293.01309434980146
なる の その,292.5464927883657
し い,292.256634958886
赤竜,291.5919990124465
証,291.45965736750367
ちっぽけ,291.2854609178445
他意,291.24418913865344
待っ,291.1697333150941
分解 し,291.1314878599264
手元,290.9509903598077
殺さ れる,290.6788893906412
慰謝料,290.5068841234921
使っ,289.98279639451124
うつむい いる,289.94818364116406
褒美,289.8338988605234
蓄え,289.4679486479501
愛し 愛し,288.9517694913811
多大,288.733734772731
非常事態,288.4736483930324
四十歳,288.4637070363794
封じ,288.34063815059693
ふいに,288.20022424457295
並木道,287.72710806108984
開け,287.70905828311004
い この 世界,287.5612084943321
クルリ,287.31345789099043
俯い,287.07896361786163
クラーケン,286.9456593487935
荷物,286.71532611411794
災,286.56610130342494
面倒,286.47065561672014
縁談,286.3511508947589
なる の しれ,286.1778360733924
危険度,285.6412080358631
の 魔術,285.1362917370836
母親,285.08440507182615
対象 なる,285.04132282386286
ない,284.9985389659023
学生服,284.99710103674585
むしろ,284.6595055906119
エリック,284.3671903483334
l,284.3425113656459
ドミニク,284.3395748963657
い そんな,284.06850206421547
あり 最後,283.370297078364
能力,283.3204320072813
統べる,283.19043350480007
し 夜,283.12501770118786
妨害,283.0800446219203
実,283.06202001847737
坂道,282.9482249534113
人間 同士,282.8515910755149
強い 口調,282.61434019978304
見える,282.5199363605765
この 勇者,282.3834523575663
上がっ いる,282.0843642147481
どう 考え,281.89687384469426
アデル,281.8497623780435
世界 ー,281.70532376315276
息 呑む,281.56538321258967
屍,281.50556455332185
くる この,281.2087904288943
きっと,281.18414240639703
其方,280.9763232743888
人間 魔族,280.86924213983355
魔物 襲わ,280.7395924931506
切り出さ,280.47929583471733
もう 来,280.24533192996057
ウィルス,280.13264287172507
相応しい,279.93930367048216
笑み,279.9091104930915
踵,279.8377862345107
結婚 し,279.4540731079856
肉体,279.4026062275588
希少,279.300549048622
侵入者,279.22881183365826
し ある,279.2114208964435
大陸 中央,279.07793794501083
する 魔族,278.9408414250687
伝え い,278.4424522683638
くる の この,278.1483301254873
ミス,277.7884157724971
位,277.3271611630043
転がり 落ち,277.32181208215167
かばん,277.0551062262987
生まれ変わる,277.04205871787633
絶対,276.86846668235415
赤い 絨毯,276.80595155314353
コピー し,276.7454062367639
出現 する,276.5774787095583
なる 魔法,276.41465628360936
し やっぱり,276.29372168335294
おそらく この,275.87535807980765
電子音,275.75488682022825
運 いい,275.3231103769105
ステータス オープン,275.1745132794684
なっ くれ,275.02554791122043
飲ま,275.0032324466686
領地,274.9239101869754
感覚,274.91452005177655
し より,274.9090263631839
杖 使っ,274.86380865079616
られる なる,274.54162309981433
本日,274.2948941679398
ダイス,274.292673478198
級,274.227882687904
迫害 さ,273.9161763760116
案内人,273.86852594943315
緩ま せ,273.85088167069483
領土,273.0390407731817
特殊能力,272.9652015244726
当主,272.92702518119347
呑む,272.7159451424418
ポーター,272.61403806702293
暗黒,272.3955562439881
横たわり,272.3357748034088
さ 覚え,272.21666744434253
王都,272.1622365975828
薬品,272.1406320485642
治療,271.9808508396306
輝く,271.64882862875345
分かる この,271.5463673454878
0,271.4697413881818
静か,271.05453596536785
与え,270.97044763738194
円柱,270.5220972832556
せ,270.4041709551029
勉強,270.393571533425
扉,270.35176192597356
なっ 言わ,270.3158464386076
れる なる,270.26935799778363
もらっ,270.1536645396431
出来 良い,269.4942757904654
奥歯,269.42992940774667
絶望,269.29305459651204
照れ,269.1865094654152
件,269.0716217225117
因果応報,268.9360342274717
最高峰,268.8138321176082
とっ おき,268.78656191684047
生産,268.70539853677286
この 転生,268.6203804255167
の もちろん,268.4960594033589
眺め,268.1083416049413
項目,268.0549192842184
すぐ,267.2472195453607
美女,267.11543937406606
区別 つか,266.91316590225233
けら,266.81896755938095
眠気 襲っ,266.76779106290536
踵 返す,266.71414729763205
くる,266.6862803861341
い 魔族,266.5821837589583
この 世界 救っ,266.49721463095204
人間 魔物,266.30351377579643
言葉 遮っ,266.24959341491353
瞬間移動,266.1950721926882
好き この,266.1948953935798
襟元,266.1918264047292
ふ,265.92859805500206
乗る,265.6889099196813
なっ の もう,265.67220402704663
無数,265.6710583125229
短剣,265.63858049763553
転生 する,265.0758381321731
神 愛さ れ,264.3342494110009
神 愛さ,264.3342494110009
いる 過ぎ,264.26376646788566
必要,263.91308703668614
